,Číslo obce,Název obce,Registrovaní volici
70,589969,Rakůvka,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589969&xvyber=7103
71,589977,Rozstání,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589977&xvyber=7103
72,506770,Seloutky,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=506770&xvyber=7103
73,589993,Skalka,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589993&xvyber=7103
74,590002,Skřípov,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590002&xvyber=7103
75,590011,Slatinky,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590011&xvyber=7103
76,590029,Smržice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590029&xvyber=7103
77,590045,Srbce,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590045&xvyber=7103
78,590053,Stařechovice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590053&xvyber=7103
79,590061,Stínava,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590061&xvyber=7103
80,590070,Stražisko,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590070&xvyber=7103
81,590088,Suchdol,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590088&xvyber=7103
82,590096,Šubířov,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590096&xvyber=7103
83,590100,Tištín,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590100&xvyber=7103
84,590118,Tvorovice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590118&xvyber=7103
85,590126,Určice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590126&xvyber=7103
86,590134,Víceměřice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590134&xvyber=7103
87,590142,Vícov,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590142&xvyber=7103
88,544710,Vincencov,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=544710&xvyber=7103
89,590151,Vitčice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590151&xvyber=7103
90,590177,Vranovice-Kelčice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590177&xvyber=7103
91,590185,Vrbátky,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590185&xvyber=7103
92,590193,Vrchoslavice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590193&xvyber=7103
93,590207,Vřesovice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590207&xvyber=7103
94,590215,Výšovice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590215&xvyber=7103
95,590223,Zdětín,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590223&xvyber=7103
96,590240,Želeč,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590240&xvyber=7103
